Study_Hours,Sleep_Hours,Screen_Time_Hours,Exercise_Hours,Stress_Level,Previous_Marks,Burnout_Score,Burnout_Level,Performance_Decline,Final_Predicted_Marks
5.99,6.95,7.2,0.46,7,59.69,4.21,Medium,0.62,59.07
4.72,6.24,5.1,0.43,4,60.55,1.61,Low,1.43,59.13
6.3,6.74,2.72,2.14,4,80.14,-1.85,Low,2.11,78.03
8.05,8.07,3.84,2.49,6,84.36,6.0,High,3.37,80.99
4.53,8.92,5.86,0.26,3,67.82,0.87,Low,0.94,66.88
4.53,7.86,9.55,0.46,10,58.14,3.16,Medium,0.79,57.35
8.16,7.15,3.79,1.91,6,85.74,2.83,Medium,3.04,82.7
6.53,9.25,7.01,1.43,4,90.26,4.83,Medium,3.4,86.86
4.06,6.53,4.18,1.54,10,57.64,7.66,High,0.42,57.23
6.09,8.55,5.28,1.72,8,66.81,3.98,Medium,0.17,66.65
4.07,6.57,8.79,0.81,5,54.63,3.96,Medium,0.74,53.89
4.07,7.65,6.91,1.26,8,64.12,6.18,High,4.51,59.61
5.48,6.83,1.9,1.2,9,62.69,3.65,Medium,3.36,59.32
1.17,6.92,3.57,0.31,4,58.9,1.86,Low,4.61,54.3
1.55,6.43,8.14,1.25,1,56.83,2.33,Low,3.32,53.51
3.88,9.02,5.35,1.99,10,56.83,2.66,Medium,4.83,52.0
2.97,5.9,2.13,0.73,7,65.64,5.12,High,2.19,63.44
5.63,5.89,2.95,1.12,7,66.29,2.2,Low,3.0,63.29
3.18,10.0,6.76,1.17,5,61.96,0.98,Low,3.01,58.95
2.18,8.47,7.49,0.77,5,56.33,2.64,Medium,0.02,56.31
7.93,3.42,5.04,1.54,1,81.09,3.67,Medium,0.14,80.95
4.55,6.15,11.19,0.46,3,70.16,4.85,Medium,0.73,69.43
5.14,4.28,7.06,2.07,1,78.01,1.87,Low,2.56,75.46
2.15,5.57,4.39,1.5,7,50.71,3.7,Medium,2.15,48.56
3.91,3.0,2.96,0.25,5,55.58,4.83,Medium,2.7,52.88
5.22,6.79,2.56,2.36,4,69.61,1.32,Low,4.0,65.61
2.7,5.29,5.84,1.13,7,52.7,2.76,Medium,4.11,48.59
5.75,7.09,3.78,0.42,9,61.05,3.67,Medium,4.89,56.16
3.8,4.56,9.18,1.88,6,54.63,6.13,High,2.79,51.85
4.42,7.12,8.67,1.4,9,45.27,4.35,Medium,1.74,43.54
3.8,6.38,6.58,0.0,6,55.93,1.47,Low,1.54,54.39
8.7,9.25,2.05,0.58,10,90.48,4.01,Medium,1.7,88.77
4.97,9.12,3.32,1.22,9,69.09,3.4,Medium,1.62,67.47
2.88,8.18,8.14,0.0,6,49.81,4.86,Medium,1.96,47.85
6.65,6.51,3.59,1.07,9,69.31,2.55,Medium,0.37,68.94
2.56,9.98,7.81,1.13,3,65.54,1.65,Low,3.17,62.37
5.42,4.67,6.19,0.05,5,72.85,5.75,High,2.84,70.01
1.08,4.89,5.13,1.22,5,48.4,1.32,Low,2.31,46.09
2.34,6.87,3.24,1.01,10,45.26,4.3,Medium,0.41,44.85
5.39,10.0,4.76,0.05,8,68.68,0.27,Low,0.47,68.21
6.48,6.7,5.47,1.74,7,73.27,5.39,High,2.73,70.55
5.34,6.73,7.58,1.67,2,77.27,3.18,Medium,0.18,77.09
4.77,4.84,2.79,0.77,2,76.65,1.15,Low,3.62,73.03
4.4,8.42,4.34,0.84,7,76.22,1.0,Low,4.97,71.25
2.04,8.43,5.11,1.58,10,49.13,5.1,High,2.99,46.14
3.56,8.18,6.66,0.84,10,49.71,4.72,Medium,3.62,46.09
4.08,6.06,2.73,0.0,4,57.06,-2.35,Low,2.19,54.87
7.11,5.94,1.71,1.39,6,83.25,4.04,Medium,3.34,79.91
5.69,5.06,6.68,0.35,9,51.45,7.8,High,3.26,48.19
1.47,7.13,1.21,0.69,10,54.86,5.39,High,4.12,50.74
5.65,5.38,8.21,2.17,4,67.07,1.63,Low,3.56,63.52
4.23,5.23,4.61,0.89,7,67.78,1.11,Low,3.75,64.03
3.65,6.36,1.13,1.0,9,53.45,2.84,Medium,2.78,50.67
6.22,6.27,3.8,1.41,1,89.07,1.5,Low,2.42,86.64
7.06,6.19,5.95,1.4,10,70.44,4.64,Medium,2.29,68.15
6.86,7.7,3.67,0.26,2,86.77,-1.28,Low,1.96,84.81
3.32,7.12,5.05,0.95,9,49.22,5.44,High,1.33,47.89
4.38,6.57,6.85,1.03,5,66.13,2.74,Medium,0.17,65.96
5.66,7.27,4.49,1.22,4,76.74,2.99,Medium,3.36,73.39
6.95,5.51,2.66,1.23,7,65.39,3.81,Medium,4.5,60.88
4.04,7.16,4.25,3.07,5,81.1,1.57,Low,4.65,76.45
4.63,7.23,8.54,0.06,1,66.61,1.71,Low,2.9,63.71
2.79,4.75,9.21,1.78,9,51.58,5.5,High,7.92,43.66
2.61,8.49,0.0,1.95,8,66.92,0.9,Low,4.39,62.53
6.63,5.68,7.73,1.39,3,79.36,1.51,Low,3.74,75.62
7.71,7.14,5.63,0.48,10,63.82,6.72,High,1.26,62.57
4.86,8.75,7.31,2.33,3,78.02,3.45,Medium,4.02,74.0
7.01,8.39,3.62,0.0,3,84.09,0.72,Low,2.36,81.73
5.72,7.05,0.58,0.45,7,71.87,5.41,High,4.44,67.43
3.71,6.46,6.46,1.94,2,65.53,1.92,Low,1.24,64.29
5.72,8.42,2.65,0.7,9,54.54,4.16,Medium,4.0,50.54
8.08,8.01,1.53,2.28,4,90.64,2.2,Low,3.56,87.08
4.93,6.07,1.7,0.0,7,68.8,4.64,Medium,0.07,68.73
8.13,5.81,6.5,0.11,8,61.73,5.13,High,2.82,58.92
0.0,3.89,5.35,0.57,5,35.54,3.65,Medium,3.58,31.97
6.64,7.23,6.96,1.33,8,61.43,6.55,High,0.78,60.65
5.17,6.88,6.67,0.82,4,69.95,2.24,Low,2.66,67.29
4.4,8.7,3.95,0.61,10,56.45,4.34,Medium,1.52,54.93
